YEAR,STATE,TOTAL ELECTORAL VOTES: D,TOTAL ELECTORAL VOTES: R,POPULAR VOTE: D,POPULAR VOTE: R,POPULAR VOTE: All Others
2012,DC,3.0,,267070,21381,5313
2012,AK,,3.0,122640,164676,13179
2012,ID,,4.0,212787,420911,18576
2012,MT,,3.0,201839,267928,14281
2012,ND,,3.0,124827,188163,9637
2012,SD,,3.0,145039,210610,8166
2012,WY,,3.0,69286,170962,8813
2012,AR,,6.0,394409,647744,27315
2012,KS,,6.0,440726,692634,26611
2012,NE,,5.0,302081,475064,17234
2012,OK,,7.0,443547,891325,0
2012,UT,,6.0,251813,740600,25027
2012,WV,,5.0,238269,417655,14514
2012,AL,,9.0,795696,1255925,22717
2012,KY,,8.0,679370,1087190,30652
2012,LA,,8.0,809141,1152262,32662
2012,MS,,6.0,562949,710746,11889
2012,SC,,9.0,865941,1071645,26532
2012,TN,,11.0,960709,1462330,35538
2012,AZ,,11.0,1025232,1233654,40368
2012,IN,,11.0,1152887,1420543,51104
2012,MO,,10.0,1223796,1482440,51087
2012,GA,,16.0,1773827,2078688,47535
2012,NC,,15.0,2178391,2270395,56586
2012,TX,,38.0,3308124,4569843,115884
2008,CA,55.0,,8274473,5011781,275646
2008,FL,27.0,,4282074,4045624,63046
2008,NY,31.0,,4804945,2752771,83215
2008,OH,20.0,,2940044,2677820,90486
2008,PA,21.0,,3276363,2655885,81024
2008,IL,21.0,,3419348,2031179,71844
2008,MI,17.0,,2872579,2048639,80548
2008,NC,15.0,,2142651,2128474,39664
2008,NJ,15.0,,2215422,1613207,39608
2008,VA,13.0,,1959532,1725005,38723
2008,IN,11.0,,1374039,1345648,31367
2008,WA,11.0,,1750848,1229216,56814
2008,CO,9.0,,1288633,1073629,39200
2008,MD,10.0,,1629467,959862,42267
2008,MA,12.0,,1904097,1108854,68034
2008,MN,10.0,,1573354,1275409,61606
2008,WI,10.0,,1677211,1262393,43813
2008,CT,7.0,,997772,629428,19597
2008,IA,7.0,,828940,682379,25804
2008,OR,7.0,,1037291,738475,52098
2008,ME,4.0,,421923,295273,13967
2008,NV,5.0,,533736,412827,21285
2008,NH,4.0,,384826,316534,9610
2008,NM,5.0,,472422,346832,10904
2008,DE,3.0,,255459,152374,4579
2008,HI,4.0,,325871,120566,7131
2008,RI,4.0,,296571,165391,9804
2008,VT,3.0,,219262,98974,6810
2008,DC,3.0,,245800,17367,2686
2008,AK,,3.0,123594,193841,8762
2008,ID,,4.0,236440,403012,15670
2008,MT,,3.0,231667,242763,15872
2008,NE,1.0,4.0,333319,452979,14983
2008,ND,,3.0,141278,168601,6742
2008,SD,,3.0,170924,203054,7997
2008,WY,,3.0,82868,164958,6832
2008,AR,,6.0,422310,638017,26290
2008,OK,,7.0,502496,960165,0
2008,UT,,5.0,327670,596030,28670
2008,WV,,5.0,303857,397466,12128
2008,KS,,6.0,514765,699655,21452
2008,KY,,8.0,751985,1048462,26173
2008,MS,,6.0,554662,724597,10606
2008,AL,,9.0,813479,1266546,19794
2008,LA,,9.0,782989,1148275,29497
2008,SC,,8.0,862449,1034896,23624
2008,AZ,,10.0,1034707,1230111,28657
2008,MO,,11.0,1441911,1445814,37480
2008,TN,,11.0,1087437,1479178,33134
2008,GA,,15.0,1844123,2048759,31604
2008,TX,,34.0,3528633,4479328,69834
2004,FL,,27.0,3583544,3964522,61744
2004,TX,,34.0,2832704,4526917,51144
2004,OH,,20.0,2741167,2859768,26973
2004,NC,,15.0,1525849,1961166,13992
2004,GA,,15.0,1366149,1914254,21472
2004,VA,,13.0,1454742,1716959,26666
2004,MO,,11.0,1259171,1455713,16480
2004,TN,,11.0,1036477,1384375,16467
2004,AZ,,10.0,893524,1104294,14767
2004,CO,,9.0,1001732,1101255,27343
2004,IN,,11.0,969011,1479438,19553
2004,LA,,9.0,820299,1102169,20638
2004,AL,,9.0,693933,1176394,13122
2004,AR,,6.0,469953,572898,12094
2004,IA,,7.0,741898,751957,13053
2004,KY,,8.0,712733,1069439,13710
2004,SC,,8.0,661699,937974,18057
2004,KS,,6.0,434993,736456,16307
2004,MS,,6.0,458094,684981,9070
2004,NE,,5.0,254328,512814,11044
2004,NV,,5.0,397190,418690,13707
2004,NM,,5.0,370942,376930,8432
2004,OK,,7.0,503966,959792,0
2004,WV,,5.0,326541,423778,5568
2004,AK,,3.0,111025,190889,10684
2004,ID,,4.0,181098,409235,8114
2004,MT,,3.0,173710,266063,10672
2004,ND,,3.0,111052,196651,5130
2004,SD,,3.0,149244,232584,6387
2004,UT,,5.0,241199,663742,22903
2004,WY,,3.0,70776,167629,5023
2004,DC,3.0,,202970,21256,3360
2004,DE,3.0,,200152,171660,3378
2004,VT,3.0,,184067,121180,7062
2004,HI,4.0,,231708,194191,3114
2004,ME,4.0,,396842,330201,13709
2004,NH,4.0,,340511,331237,5990
2004,RI,4.0,,259765,169046,8323
2004,CT,7.0,,857488,693826,27455
2004,OR,7.0,,943163,866831,26788
2004,MD,10.0,,1334493,1024703,27482
2004,MA,12.0,,1803800,1071109,37479
2004,MN,9.0,,1445014,1346695,36678
2004,WA,11.0,,1510201,1304894,43989
2004,WI,10.0,,1489504,1478120,29383
2004,NJ,15.0,,1911430,1670003,30258
2004,MI,17.0,,2479183,2313746,46323
2004,IL,21.0,,2891550,2345946,36826
2004,PA,21.0,,2938095,2793847,37648
2004,NY,31.0,,4314280,2962567,114189
2004,CA,55.0,,6745485,5509826,166541
2000,AL,,9.0,692611,941173,32488
2000,AK,,3.0,79004,167398,39158
2000,AZ,,8.0,685341,781652,65023
2000,AR,,6.0,422768,472940,26073
2000,CA,54.0,,5861203,4567429,537224
2000,CO,,8.0,738227,883748,119393
2000,CT,8.0,,816015,561094,82416
2000,DE,3.0,,180068,137288,10266
2000,DC,2.0,,171923,18073,11898
2000,FL,,25.0,2912253,2912790,138067
2000,GA,,13.0,1116230,1419720,60854
2000,HI,4.0,,205286,137845,24820
2000,ID,,4.0,138637,336937,26047
2000,IL,22.0,,2589026,2019421,133676
2000,IN,,12.0,901980,1245836,51486
2000,IA,7.0,,638517,634373,42673
2000,KS,,6.0,399276,622332,50610
2000,KY,,8.0,638898,872492,32797
2000,LA,,9.0,792344,927871,45441
2000,ME,4.0,,319951,286616,45250
2000,MD,10.0,,1145782,813797,65901
2000,MA,12.0,,1616487,878502,207995
2000,MI,18.0,,2170418,1953139,108944
2000,MN,10.0,,1168266,1109659,160760
2000,MS,,7.0,404614,572844,16726
2000,MO,,11.0,1111138,1189924,58830
2000,MT,,3.0,137126,240178,33693
2000,NE,,5.0,231780,433862,31377
2000,NV,,4.0,279978,301575,27417
2000,NH,,4.0,266348,273559,29174
2000,NJ,15.0,,1788850,1284173,114203
2000,NM,5.0,,286783,286417,25405
2000,NY,33.0,,4107697,2403374,310928
2000,NC,,14.0,1257692,1631163,22407
2000,ND,,3.0,95284,174852,18120
2000,OH,,21.0,2186190,2351209,168058
2000,OK,,8.0,474276,744337,15616
2000,OR,7.0,,720342,713577,100049
2000,PA,23.0,,2485967,2281127,146025
2000,RI,4.0,,249508,130555,29049
2000,SC,,8.0,565561,785937,31219
2000,SD,,3.0,118804,190700,6765
2000,TN,,11.0,981720,1061949,32512
2000,TX,,32.0,2433746,3799639,174252
2000,UT,,5.0,203053,515096,52605
2000,VT,3.0,,149022,119775,25511
2000,VA,,13.0,1217290,1437490,84667
2000,WA,11.0,,1247652,1108864,130917
2000,WV,,5.0,295497,336475,16152
2000,WI,11.0,,1242987,1237279,118341
2000,WY,,3.0,60481,147947,9923
2024,AL,,9.0,772412,1462616,30062
2024,AK,,3.0,140026,184458,13693
2024,AZ,,11.0,1582860,1770242,37059
2024,AR,,6.0,396905,759241,26530
2024,CA,54.0,,9276179,6081697,507599
2024,CO,10.0,,1728159,1377441,87145
2024,CT,7.0,,992053,736918,30039
2024,DE,3.0,,289758,214351,8803
2024,DC,3.0,,294185,21076,10608
2024,FL,,30.0,4683038,6110125,100589
2024,GA,,16.0,2548017,2663117,39771
2024,HI,4.0,,313044,193661,9996
2024,ID,,4.0,274972,605246,24839
2024,IL,19.0,,3062863,2449079,121368
2024,IN,,11.0,1163603,1720347,52727
2024,IA,,6.0,707278,927019,29209
2024,KS,,6.0,544853,758802,23936
2024,KY,,8.0,704043,1337494,32993
2024,LA,,8.0,766870,1208505,31600
2024,ME,3.0,1.0,435652,377977,17746
2024,MD,10.0,,1902577,1035550,100207
2024,MA,11.0,,2126518,1251303,95847
2024,MI,,15.0,2736533,2816636,111017
2024,MN,10.0,,1656979,1519032,77909
2024,MS,,6.0,466668,747744,13596
2024,MO,,10.0,1200599,1751986,42742
2024,MT,,4.0,231906,352079,19005
2024,NE,1.0,4.0,369995,564816,17371
2024,NV,,6.0,705197,751205,28438
2024,NH,4.0,,418488,395523,12178
2024,NJ,14.0,,2220713,1968215,83797
2024,NM,5.0,,478802,423391,21210
2024,NY,28.0,,4619195,3578899,64401
2024,NC,,16.0,2715375,2898423,85343
2024,ND,,3.0,112327,246505,9323
2024,OH,,17.0,2533699,3180116,53973
2024,OK,,7.0,499599,1036213,30361
2024,OR,8.0,,1240600,919480,84413
2024,PA,,19.0,3423042,3543308,92382
2024,RI,4.0,,285156,214406,13824
2024,SC,,9.0,1028452,1483747,35941
2024,SD,,3.0,146859,272081,9982
2024,TN,,11.0,1056265,1966865,40812
2024,TX,,40.0,4835250,6393597,159827
2024,UT,,6.0,562566,883818,42110
2024,VT,3.0,,235791,119395,14236
2024,VA,13.0,,2333778,2074097,95413
2024,WA,12.0,,2245849,1530923,147471
2024,WV,,4.0,214309,533556,14717
2024,WI,,10.0,1668229,1697626,57063
2024,WY,,3.0,69527,192633,6888
